DEBUG 2026-04-29 22:40:56,609 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1776481034.3179052
DEBUG 2026-04-29 22:40:56,609 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\core\checks\commands.py first seen with mtime 1776481033.7066362
DEBUG 2026-04-29 22:40:56,610 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\urllib3\_request_methods.py first seen with mtime 1777080108.5661955
DEBUG 2026-04-29 22:40:56,610 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\html\parser.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,610 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\_collections.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,611 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\forms\models.py first seen with mtime 1776481034.0595121
DEBUG 2026-04-29 22:40:56,611 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\core\serializers\json.py first seen with mtime 1776481033.8477292
DEBUG 2026-04-29 22:40:56,611 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\rest_framework\metadata.py first seen with mtime 1776481048.5101652
DEBUG 2026-04-29 22:40:56,612 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\types.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,612 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\unittest\case.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,612 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\wsgiref\__init__.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,613 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\asyncio\mixins.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,613 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\dis.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,613 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\shutil.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,614 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\core\files\base.py first seen with mtime 1776481033.7293365
DEBUG 2026-04-29 22:40:56,615 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\apps\registry.py first seen with mtime 1776481025.1191394
DEBUG 2026-04-29 22:40:56,616 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\utils\cache.py first seen with mtime 1776481034.3575037
DEBUG 2026-04-29 22:40:56,617 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\collections\abc.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,617 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1776481034.4046543
DEBUG 2026-04-29 22:40:56,618 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\drf_spectacular\checks.py first seen with mtime 1776736468.4089725
DEBUG 2026-04-29 22:40:56,619 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\signal.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,619 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\unittest\mock.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,620 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1776481033.7106738
DEBUG 2026-04-29 22:40:56,620 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\_compression.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,620 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\charset_normalizer\constant.py first seen with mtime 1777080110.7487113
DEBUG 2026-04-29 22:40:56,620 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\importlib\readers.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,620 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\db\models\fields\tuple_lookups.py first seen with mtime 1776481034.0144184
DEBUG 2026-04-29 22:40:56,620 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1776481034.260973
DEBUG 2026-04-29 22:40:56,621 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\utils\duration.py first seen with mtime 1776481034.3896117
DEBUG 2026-04-29 22:40:56,621 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1776481023.828926
DEBUG 2026-04-29 22:40:56,621 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\http\response.py first seen with mtime 1776481034.2406876
DEBUG 2026-04-29 22:40:56,621 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\transactions\views.py first seen with mtime 1777516926.9265406
DEBUG 2026-04-29 22:40:56,622 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\authentication\__init__.py first seen with mtime 1776731011.205394
DEBUG 2026-04-29 22:40:56,622 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\yaml\cyaml.py first seen with mtime 1776736465.1410573
DEBUG 2026-04-29 22:40:56,622 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\pygments\lexers\special.py first seen with mtime 1777335591.7861
DEBUG 2026-04-29 22:40:56,622 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\email\__init__.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,623 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\urllib3\util\response.py first seen with mtime 1777080108.609199
DEBUG 2026-04-29 22:40:56,623 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\contrib\admin\templatetags\admin_modify.py first seen with mtime 1776481028.900384
DEBUG 2026-04-29 22:40:56,623 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1776481033.6971178
DEBUG 2026-04-29 22:40:56,624 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1776481033.874321
DEBUG 2026-04-29 22:40:56,624 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\urllib\parse.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,624 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1776481034.2446861
DEBUG 2026-04-29 22:40:56,624 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\rest_framework\utils\formatting.py first seen with mtime 1776481048.679708
DEBUG 2026-04-29 22:40:56,625 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\certifi\core.py first seen with mtime 1777080111.8657088
DEBUG 2026-04-29 22:40:56,625 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\contrib\admindocs\__init__.py first seen with mtime 1776481028.9073822
DEBUG 2026-04-29 22:40:56,625 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\encodings\gb18030.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,625 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\encodings\__init__.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,626 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\functools.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,626 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\xml\__init__.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,626 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\DLLs\_zoneinfo.pyd first seen with mtime 1696271230.0
DEBUG 2026-04-29 22:40:56,626 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\drf_spectacular\contrib\__init__.py first seen with mtime 1776736468.4223192
DEBUG 2026-04-29 22:40:56,626 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\psycopg2\_psycopg.cp312-win_amd64.pyd first seen with mtime 1776482351.6762435
DEBUG 2026-04-29 22:40:56,627 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1776481033.7618854
DEBUG 2026-04-29 22:40:56,627 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\string.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,627 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\db\migrations\writer.py first seen with mtime 1776481033.948402
DEBUG 2026-04-29 22:40:56,627 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\psycopg2\_json.py first seen with mtime 1776482351.6732452
DEBUG 2026-04-29 22:40:56,628 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\services\serializers.py first seen with mtime 1776740043.2844057
DEBUG 2026-04-29 22:40:56,628 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\encodings\cp865.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,628 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1776481034.2725575
DEBUG 2026-04-29 22:40:56,628 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1776481031.2568092
DEBUG 2026-04-29 22:40:56,629 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\encodings\iso2022_jp.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,629 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\zoneinfo\__init__.py first seen with mtime 1696271158.0
